"2 Cents", "IL", "350 Brewing Co.", "-", "no score", "0", "1", "4.31", "American Double / Imperial IPA", "10.00%", "Limited (brewed once)", "BeerOps on 01-26-2015This beer is retired; no longer brewed.", "1/26/2015" 
"350 Brewing Co. / Arrowhead Ales Jive Turkey", "IL", "350 Brewing Co.", "-", "no score", "0", "2", "4.38", "Herbed / Spiced Beer", "7.00%", "Limited (brewed once)", "TMoney2591 on 11-21-2014This beer is retired; no longer brewed.", "11/21/2014" 
"350 Brewing Co. / Blue Island Beer Co. Regional Superstar", "IL", "350 Brewing Co.", "-", "no score", "0", "0", "0", "Belgian Strong Dark Ale", "8.80%", "Limited (brewed once)", "MasterSki on 03-17-2015This beer is retired; no longer brewed.", "3/17/2015" 
"350 Brewing Co. / Finch's Beer Co. Stoner Pit", "IL", "350 Brewing Co.", "-", "no score", "0", "1", "3.78", "American Double / Imperial Stout", "10.00%", "Limited (brewed once)", "TMoney2591 on 03-03-2015This beer is retired; no longer brewed.", "3/3/2015" 
"350 Brewing Co. / Hailstorm Howdy Neighbor", "IL", "350 Brewing Co.", "-", "no score", "2", "20", "3.72", "K̦lsch", "5.20%", "Limited (brewed once)", "BeerOps on 08-21-2015This beer is retired; no longer brewed.", "8/21/2015" 
"350 Brewing Co. / Pipeworks Steve Miller Sucks", "IL", "350 Brewing Co.", "-", "no score", "0", "3", "0", "American Barleywine", "10.50%", "Limited (brewed once)", "enelson on 09-18-2015This beer is retired; no longer brewed.", "9/18/2015" 
"350 Brewing Co./ Breakroom Brewery Bang! Bang!", "IL", "350 Brewing Co.", "-", "no score", "0", "4", "4.69", "Saison / Farmhouse Ale", "6.20%", "Limited (brewed once)", "Hopmarc on 09-23-2014This beer is retired; no longer brewed.", "9/23/2014" 
"350 Brewing Co./Flesk First World Tweeter", "IL", "350 Brewing Co.", "-", "no score", "0", "1", "4.1", "Maibock / Helles Bock", "6.00%", "Limited (brewed once)", "TMoney2591 on 05-08-2015This beer is retired; no longer brewed.", "5/8/2015" 
"350 Porter W/ Caramel, Vanilla, Coffee", "IL", "350 Brewing Co.", "-", "no score", "1", "2", "4.15", "American Porter", "6.20%", "Limited (brewed once)", "BlackBeerPirate on 05-24-2016", "5/24/2016" 
"A Wolf's Lament", "IL", "350 Brewing Co.", "-", "no score", "0", "1", "0", "Irish Red Ale", "5.70%", "Limited (brewed once)", "Duff27 on 04-08-2016", "4/8/2016" 
"Bacon Punch", "IL", "350 Brewing Co.", "-", "no score", "0", "3", "3.34", "American Porter", "8.00%", "Limited (brewed once)", "BeerOps on 08-23-2015This beer is retired; no longer brewed.", "8/23/2015" 
"Barrel Aged Koko Beware Batch 2", "IL", "350 Brewing Co.", "-", "no score", "0", "2", "0", "American Double / Imperial Stout", "not listed", "Limited (brewed once)", "BeerOps on 10-01-2016", "10/1/2016" 
"Barrel Aged My First Rodeo", "IL", "350 Brewing Co.", "-", "no score", "0", "3", "4.04", "American Barleywine", "13.00%", "Limited (brewed once)", "BeerOps on 08-23-2015This beer is retired; no longer brewed.", "8/23/2015" 
"Barrel Aged Nut To Butt", "IL", "350 Brewing Co.", "-", "no score", "0", "1", "4.24", "American Brown Ale", "10.00%", "Limited (brewed once)", "BeerOps on 08-23-2015This beer is retired; no longer brewed.", "8/23/2015" 
"Big & Dirty", "IL", "350 Brewing Co.", "-", "no score", "0", "5", "4.07", "American Brown Ale", "7.50%", "Limited (brewed once)", "Alpha309 on 12-27-2014This beer is retired; no longer brewed.", "12/27/2014" 
"Brown Out", "IL", "350 Brewing Co.", "-", "no score", "0", "7", "3.76", "English Dark Mild Ale", "3.40%", "Rotating", "Beerpiggie on 09-14-2014", "9/14/2014" 
"Captain Hopvious", "IL", "350 Brewing Co.", "-", "no score", "0", "2", "0", "American Pale Ale (APA)", "5.60%", "Rotating", "TMoney2591 on 03-31-2015", "3/31/2015" 
"Captain Lou", "IL", "350 Brewing Co.", "-", "no score", "0", "1", "0", "American Pale Wheat Ale", "6.00%", "Limited (brewed once)", "BeerOps on 08-23-2016", "8/23/2016" 
"Chocolate Peanut Butter Brown", "IL", "350 Brewing Co.", "-", "no score", "0", "0", "0", "American Brown Ale", "7.50%", "Limited (brewed once)", "MasterSki on 03-17-2015This beer is retired; no longer brewed.", "3/17/2015" 
"Chris Mullin Fan Club", "IL", "350 Brewing Co.", "-", "no score", "0", "2", "0", "American IPA", "8.20%", "Limited (brewed once)", "Duff27 on 02-06-2016", "2/6/2016" 
"Christmas Wheat", "IL", "350 Brewing Co.", "-", "no score", "0", "1", "0", "Winter Warmer", "5.50%", "Limited (brewed once)", "enelson on 12-06-2015", "12/6/2015" 
"Cocoa Beware", "IL", "350 Brewing Co.", "-", "no score", "0", "4", "0", "Russian Imperial Stout", "11.20%", "Limited (brewed once)", "BeerOps on 02-08-2015This beer is retired; no longer brewed.", "2/8/2015" 
"Coolidge", "IL", "350 Brewing Co.", "-", "no score", "0", "6", "0", "American IPA", "3.80%", "Limited (brewed once)", "TMoney2591 on 01-07-2015This beer is retired; no longer brewed.", "1/7/2015" 
"Cream Dream", "IL", "350 Brewing Co.", "-", "no score", "0", "0", "0", "Milk / Sweet Stout", "8.00%", "Limited (brewed once)", "Redsunsx01x on 09-20-2016", "9/20/2016" 
"Cream Dream W/ Toasted Coconut", "IL", "350 Brewing Co.", "-", "no score", "0", "1", "4.16", "Milk / Sweet Stout", "8.00%", "Limited (brewed once)", "Redsunsx01x on 09-20-2016", "9/20/2016" 
"Crook IPA", "IL", "350 Brewing Co.", "-", "no score", "5", "46", "4.18", "American IPA", "6.90%", "Rotating", "oso on 03-13-2014", "3/13/2014" 
"Disconnected", "IL", "350 Brewing Co.", "-", "no score", "0", "5", "4.26", "American Black Ale", "5.40%", "Limited (brewed once)", "Hopmarc on 09-23-2014This beer is retired; no longer brewed.", "9/23/2014" 
"Dog People", "IL", "350 Brewing Co.", "-", "no score", "0", "1", "0", "Rye Beer", "7.20%", "Rotating", "Chris-1911 on 11-07-2015", "11/7/2015" 
"Double Crook", "IL", "350 Brewing Co.", "-", "no score", "4", "13", "4.02", "American Double / Imperial IPA", "11.00%", "Limited (brewed once)", "BeerOps on 08-23-2015This beer is retired; no longer brewed.", "8/23/2015" 
"Dreamsickle", "IL", "350 Brewing Co.", "-", "no score", "1", "13", "3.99", "American Pale Wheat Ale", "5.70%", "Rotating", "TMoney2591 on 03-31-2015", "3/31/2015" 
"Dropout", "IL", "350 Brewing Co.", "-", "no score", "0", "10", "0", "Oatmeal Stout", "7.30%", "Rotating", "Ken134 on 09-11-2014", "9/11/2014" 
"El Scorcho Belgian Amber", "IL", "350 Brewing Co.", "-", "no score", "0", "3", "4.33", "Belgian Dark Ale", "5.50%", "Limited (brewed once)", "Brenden on 07-01-2014This beer is retired; no longer brewed.", "7/1/2014" 
"Farm House Party", "IL", "350 Brewing Co.", "-", "no score", "1", "2", "4.04", "Saison / Farmhouse Ale", "4.50%", "Limited (brewed once)", "darktronica on 11-06-2015", "11/6/2015" 
"Fat & Married", "IL", "350 Brewing Co.", "-", "no score", "0", "5", "0", "Milk / Sweet Stout", "10.00%", "Limited (brewed once)", "enelson on 12-06-2015", "12/6/2015" 
"Fat Stacks", "IL", "350 Brewing Co.", "-", "no score", "0", "5", "3.95", "American IPA", "7.50%", "Limited (brewed once)", "HabaJohn on 12-03-2014This beer is retired; no longer brewed.", "12/3/2014" 
